content,score,label_sentiment
"Instagram is great for sharing moments, but there's one feature that would make the experience even smoother: Undo Archive for Stories! Sometimes we accidentally archive a story, and unfortunately, there's no way to restore it to its original position without reposting. It would be really helpful to have an option to bring back a story from Archive without resetting its posting time. Hopefully, the Instagram team considers adding this feature in a future update! Thank you!🙏🏻🙏🏻",3,Neutral
"saya sangat senang dengan instagram, terima kasih,,,,",5,Positive
sangat membantu dan memudahkan untuk berbagi setiap moment😍,5,Positive
heh ku naon iye Ig na kudu muat ulang bae,1,Negative
keren sekali,5,Positive
Aplikasi ini sangat bagus dan sangat rekomendasi apalagi dengan realsnya yang bisa tergolong enak dipandang meski ada berbaur tidak mengenakan tapi lama kelamaan bagus dengan sendirinya bagus ig lanjutkan,5,Positive
keren,5,Positive
"kenapaa akun utama ku ga bisa komen di story ya? padahal di akun second bisaa , itu aja sih selebihnya bagus bagus ajaa",3,Neutral
bagus👍,5,Positive
"sumpah ini IG lama² makin nggak enak, jaringan sering error, padahal pake Starlink kapasitas jaringan 1mbps tapi unggah video 5mb aja 1 jam lebih,",1,Negative
konten yang menarik,4,Positive
nyaman,5,Positive
"bagus semua udah, tapi emang kalau mau ngirim foto atau vidio ke temen ke kompres jadi burem banget, sama satu lagi di saya itu kalau mau ganti sampul sorotan lamanya minta ampun sampe sekarang ngk bisa diganti tolong dong😭",3,Neutral
Saya kasih 5bintang karna aplilasinya kurang bgus krna upload rells stug di 90% lag,5,Positive
sangat baiiikk,5,Positive
bagus pokok e,5,Positive
Bagus untuk kalo memosting apa saja jadi harus download dong,5,Positive
gw belom pernah make Instagram Cok gw GK tau apa²,1,Negative
saya suka Instagram,5,Positive
mantap,5,Positive
seru,5,Positive
sangat bagus,5,Positive
"gajelas, cerita saya yang ga sengaja saya arsipkan hilang",1,Negative
saya sukaaaaaa,5,Positive
Membatu dalam usaha online maksih ia,5,Positive
yes very good,4,Positive
Baguss bangett🔥🔥,4,Positive
the best pokonya,5,Positive
Apik,5,Positive
aplikasi Instagram ini bagus,5,Positive
gak pernah adil dalam memihak yg benar,5,Positive
Terbaik deh pkok nya,5,Positive
Bagussssssss polll 🤩,5,Positive
"sekarang gajelas ya, di diemin ngelunjak",1,Negative
sangat membantu,5,Positive
good,5,Positive
"bagus, sangat bagus",5,Positive
bagus banget aplikasinya bisa awet data dan lain lain ya,5,Positive
ok,1,Negative
bagus baru donlod sangat membantu poko ya mantap,5,Positive
mantap,5,Positive
👍🏻,5,Positive
habis update banyak bug,1,Negative
baik,5,Positive
cari @Cristiano Ronaldo Siuuuuuuuu,5,Positive
saya senang msnyimpan foto sebagai kenang-kenangan dan diupload di instagram.,5,Positive
aplikasi ini sangat menyenangkan kalian bisa chet dan fato/vidio dengan nyaman,5,Positive
intan,5,Positive
"Akun utama saya tadinya bisa buka komentar hanya setengah gambar saat melihat postingan di beranda dan bukan REELS biasanya pada saat setelah mencet caption itu keluar komentar, tapi sekarang sudah tidak muncul lagi komentarnya jadi harus mengklik logo komentar yang membuat seluruh layar tertutup dengan komentar, tetapi masih normal di akun ke-2 TOLONG SEGERA DI FIX KARENA SAYA SANGAT TERGANGGU KETIKA INGIN MELIHAT KOMENTAR!!!!! DAN JUGA SAYA TELAH MELAPORKAN BUG KEPADA IG TETAPI TIDAK BERUBAH",1,Negative
Enjoy for Instagram,5,Positive
kenapa nih ga bisa daftar,1,Negative
mantap,5,Positive
aneh aneh..akun gua ga bisa komen story dah laporan dan lain lain ga ada efeknya aneh nih aplikasi makin lama,1,Negative
kren,5,Positive
bisa nonton semuan filem temasuk bola juga,5,Positive
sangat membantu sekali buat promosi kuliner,5,Positive
saran supya seperti telegram ada fitur geser nya,4,Positive
baguss,5,Positive
bisa chet tan,5,Positive
bagus,1,Negative
kenapa ig dari hp saya tidak bisa upload feed lebih dari 10 foto?,3,Neutral
"pea bikin akun ke banned baee di nonaktifkan baeee ampe bikin 10 kali tetep di nonaktifkan padahal ga ngelakuin apa apa tiba tiba di nonaktifkan tolong di perbaiki dongg Instagram, gw jadi ga bisa main ig. huh",1,Negative
terbaik,5,Positive
menyenangkan,5,Positive
"a*njir,beranda ig sekarang menjijikkan dan menyeramkan",1,Negative
mantap,5,Positive
sangat membantu,5,Positive
so nice,5,Positive
JAZAKUMULLAH KHAIR,5,Positive
"semenjak di update ig jadi ngelag banget, tolong perbaikan nya, jadi ga suka ig",1,Negative
bagus aku sukaa,5,Positive
Karena kenapa HP teman ku gak bisa donlowod instagram ini jadi nya gue hapus deh temen temen gak usah donlowod kalian bakalan rugi beneran dengerin gue,5,Positive
mantap,5,Positive
oke,5,Positive
sangat bagus sekali👍😊👏,5,Positive
seneng banget bisa kenal banyak orang jangan lupa follow aku ya hihiiiii@zahrotussita_95,5,Positive
mantul,5,Positive
suka menggunakan aplikasi ini,5,Positive
Bagus,4,Positive
aah aku suka instagram,5,Positive
Sangat bagus,5,Positive
"Coment kritik membangun dan baik juga di suspen.. Full Iklan judol, banyak banget ..😢",1,Negative
bagus buatt selfiee hehehe😽,5,Positive
bguss,4,Positive
kenapa akun Instagram saya diperbatasi,1,Negative
sangat keren,5,Positive
mntap,5,Positive
apk yang bagus untuk semua orang,5,Positive
terbaru Instagram biru 😍😍,5,Positive
"Hay tolong kembalikan Efek jj lagi pliss, aku suka banget",5,Positive
Tidak bisa d kirim status,5,Positive
Halo kaka²,5,Positive
sangat bagus,5,Positive
baik,5,Positive
sangattt bguss,5,Positive
mantap,5,Positive
"Saya sangat suka dengan apk IG, smga mkin berkembang lg ☺",5,Positive
ok,5,Positive
kok patah patah ya,5,Positive
lumayan tp gua gk dpet monet dollar. suweee,5,Positive
Terima Kasih banyak sangat membantu sekali dlm perjalanan Interaksi Kami 🤩,4,Positive
ok,5,Positive
sangat membantu,5,Positive
apk ya seru saya suka kenapa ada tulisan maaf jika anda ada kesalahan beritahu kami ..itu maksudnya apa yaa🥺🙏,5,Positive
👍👍👍,5,Positive
bagus,5,Positive
"habis diperbarui kok malah gak bisa log in ya, padahal password nya sudah bener. gimana dong pemulihan akun juga sudah beberapa hari masih gak bisa. gimana ya solusinya.",2,Negative
jujur sekarng instagram kayak ga ada privasi ny ☹☹☹,3,Neutral
bagus,4,Positive
seru,5,Positive
bagus,5,Positive
BAGUS DANCOCOK UNTUK PDMULA SEPERTI AKU,4,Positive
adain timer nya aja siii,5,Positive
good lah,5,Positive
"apa sih sekarang dikit-dikit kena suspend, padahal ga ngapa-ngapain.",1,Negative
filter guee woi balikinn,2,Negative
Good for my iphone 6s and I like it 😏,5,Positive
keren,5,Positive
aplikasi kenapa ini gak bisa buka . terus kenapa akun IG saya di suspend ... ada apa ini,1,Negative
minus nya tdk bisa menonton,5,Positive
gem ini sangat bagus,1,Negative
bagus,5,Positive
ok,5,Positive
bisa liat Bokir lagi garuk garuk,5,Positive
sangat menyenangkan karena kita bisa dapat teman baru dari Instagram,5,Positive
kalo kita nambahin caption di sg sering ilang sendiri,2,Negative
pokonya perfect,5,Positive
"update mulu dah, stop update mulu anjir gua capek update in terus cok, hargai yg gada kuota bung!! jangan seenaknya sajaa",1,Negative
sangat nyaman memakai Instagram,5,Positive
bagus,5,Positive
"Kalau di aku kenapa kalau mau record live, keyboard suka kedip2 jadi ga bs komen jg",3,Neutral
sayah senggang melakukan hal baru,5,Positive
lumayan,3,Neutral
Aplikasi yang sangat saya kagumi karna dapat menyimpan aku menyalurkan dokumentasi dari masa ke masa namun akhir akhir ini entah kenapa seluruh akun saya tanpa alasan dibanned semua padahal saya tidak melanggar komunitas lebih banyak juga konten konten yang melanggar jadi intinya perbaiki cara mefilter pelanggaran karna itu sungguh merugikan kita jangan buat sistem merugikan kita,1,Negative
Instagram g bisa hapus pesan yg habis di kirim y,2,Negative
BALIKIN INSTAGRAM KE ERA RASIO 1:1 GUA JIJIK BGT LIAT 4:5 GABISA NGEDIT FEED BIAR BAGUS.,2,Negative
Mantappp ajibbb tambah syiar dan tambah dakwahnya,5,Positive
bagus,5,Positive
"min ig saya tidak bisa up story pake musik,musik nya selalu eror,knp ya?",4,Positive
"suka bngt sih sama ni apk, kaya IH GUA SUKA AJA",5,Positive
mantap,5,Positive
"terlalu banyak update. saran utk tdk melakukan update jika semua fitur belum terkoreksi sempurna... karna ig banyak fiturnya maka mengelola atau merawatnya pun harus extra atau lebih banyak efforts lagi, walaupun contoh semisalnya fitur direct message sudah dirasa sempurna, alangkah baiknya utk tetap dikoreksi ulang ketika development akan melakukan sebuah update atau memperbaiki system... agar tdk terlalu banyak update",4,Positive
semua apa yang lakukan biarlah jadi yang terbaik dan bermanfaat,5,Positive
bahagia,5,Positive
APK TERBAGUS!!!!!!,5,Positive
kenapa gak bisa tag orang difoto sekarang padahal udah disimpan,3,Neutral
"1. Banyak bug (komen ilang, gabisa ngelike) 2. Pake kuota lancar, giliran pake wifi yang jaringannya lebih kuat malah ngelag 3. Pencarian agak terbatas, kadang akun yang dicari ada, kadang tidak ada, padahal akun yang sama 4. Kasih history tontonan dong, kadang reels yg bagus gabisa di like, trus ilang, cuma ada history reels yg udah di like",2,Negative
sangat bagus,5,Positive
bagus,5,Positive
Siip..lah. mantap,5,Positive
minus fitur editing stlh tulisan komen terkirim.,1,Negative
ga bagus makin lama makin buruk akun saya tibatiba di nonaktifkan permanen padahal saya tidak berbuat apa apaaa memang instagram aneh,1,Negative
saya kok tidak bisa mendownload Instagram,1,Negative
sangat memuaskan,5,Positive
gabisa instal,1,Negative
"bagus banget sih,,tapi harus di update berkali kali",5,Positive
semoga bisa membatu kretivitas dan perekonomian saya,5,Positive
mantap,5,Positive
Saya suka bangat,4,Positive
lama bjir,1,Negative
mantep,5,Positive
👍😁,5,Positive
bagus,4,Positive
aku menyukai nya,5,Positive
"Okay, this is good.",5,Positive
jossss,5,Positive
suka dan puas.... tks ig,5,Positive
bagus👍🏿,5,Positive
sangat bagus,5,Positive
sukaaaaa aplikasi Yang baguss bisa ngapain aja😝😝🪼,5,Positive
Mantap 👍👍👍,5,Positive
aku sangat suka hingga tak bisa berkata kata,4,Positive
Baguz,5,Positive
friendly user... banyak opsi dan pilihan edit. mantab,5,Positive
mantap,4,Positive
anjay,5,Positive
baguss keren asik,4,Positive
bagus,5,Positive
bagus akuu sukaa,5,Positive
aplikasi nya bagus tapi pas mau di instal lama banget woe,5,Positive
nice,5,Positive
Alhamdulillah dengan menggunakan aplikasi Instagram silaturahmi menjadi lancar 🙂,4,Positive
Bagus ig nya buat cari cowok bisa juga,5,Positive
"ig ny g bisa di pencet ,BURIK",1,Negative
tidah dapat men nonton xx..,1,Negative
bagus banget loh,5,Positive
Bagus banget,5,Positive
"aku saya udah 2thn tiba"" gak bisa masuk lagi,kocakk""",1,Negative
sangat bagusss,5,Positive
terimakasi,1,Negative
bagus,5,Positive
aplikasi yang sangat keren,5,Positive
pas buat akun baru gak bisaa knpa?,1,Negative
oke,5,Positive
oke,5,Positive
ok dan optimal,5,Positive
apikk,5,Positive
aplikasi kocak masukin sandi bener ttep ga bisa login minta bantuan ttep ga ada solusi hadeh,1,Negative
selama ini pemakaian IG bagus,5,Positive
sangat puas,4,Positive
aplikasinya udh keren sih nambah temen atau pacar ya ak suka banget loplop deh pokoknya ♥️😍💋💋,5,Positive
"I have never harmed or offended other people on Instagram, but why was my account suspended for a long time without a clear reason? I am very disappointed, really disappointed.GIVE ME BACK MY ACCOUNT!",5,Positive
nice,5,Positive
"please jangan kasih update random kayak gitu lah, masak ya update pertama dapat yang reels nya bisa di puase dan update kedua malah gak ada, dan update ketiga balik lagi bisa di puase, terus sekarang malah reels bermasalah kayak keluar sendiri dari video reels dan kembali ke beranda, dan itu selalu terjadi, saat membuka reels dan ingin scroll ke bawah malah kembali ke beranda dan di buka lagi setelah beberapa saat malah kembali lagi ke beranda. tolong di perbaiki",2,Negative
mantap moga akun saya masuk fyp amin 🤲🤲🤲🤲🤲🤲🤲🤲,5,Positive
balikin filter ig yg dulu kocak,1,Negative
gak bisa bikin akun padahal sandi dan email udah benar,1,Negative
keren doang sih🤭🤭,5,Positive
karna bisa lihat cerita nya semua orang dan seru polll,5,Positive
Terimakasih,5,Positive
ok,5,Positive
Ada pembatasan reels,4,Positive
Instagram nya sangat baik tapi efek filter nya hilang tiba²,4,Positive
kok GK ada ikon efek ya tolong perbaiki lagi,1,Negative
luar biasa...,5,Positive
suka aja sih main instragram,5,Positive
seru,5,Positive
Aplikasi bangke,5,Positive
mantab,5,Positive
senang ajaa,5,Positive
keren sekali,5,Positive
bgus,5,Positive
sangat bagua,3,Neutral
bagus untuk meluapkan isi hati,5,Positive
mantap,5,Positive
bagus aplikasi ini,5,Positive
"bagus banget, tapi kadang sukanya loading, padahal jaringan nya penuh, dan datanya juga banyak. tapi aplikasi ini bagus banget deh",4,Positive
"dulu aku suka bnget,tapi Skrang jarang fto mke ig karna udah bnyak efek yg ke hapus padahal dulu bagus bagus efek nya TPI sekarang makin sedikit",4,Positive
keren,5,Positive
"Saya harap pihak pembuat menambahkan fitur pencarian di menu postingan yang sudah tersimpan untuk mempermudah pengguna mencari Judul/Pengelompokkan yang telah dibuat. Translate to english: ""I hope the creators add a search feature in the saved posts menu to make it easier for users to search for the Titles/Groupings that have been created.""",4,Positive
"apaan si bikin sampul buat sorotan aja memuat nya 7 tahun ,apaan ni?jelek bangettt",1,Negative
ig nya bermasalah pls,5,Positive
"bagus keren, semoga bisa membantu dalam proses bisnis",5,Positive
bagus sihh cuman kenapa aku gak bisa nambah kan lagu di profil dan orng pun nambah kan lagu pun gak nmpk ku,4,Positive
maaf kak aplikasi nya tidak bisa di buka padahal saya sudah download,2,Negative
bagus banget,5,Positive
makanja' iye,5,Positive
min kok di ig saya ga ada fitur coment stories nya ya? apa ada solusinya min,2,Negative
Segala info bisa didapatkan disini,5,Positive
sangat bermanfaat,5,Positive
Saya kasih 5 bintang karna baguss bgtt,5,Positive
good,5,Positive
👍👍👍,5,Positive
oke,5,Positive
ig ini terseru di dunia kalo aku bosan aku pasti liat ig,5,Positive
best,5,Positive
seru,5,Positive
keren banget Instagram bisa berbagi pesan dan cerita,5,Positive
"saya menyukai nya, karna ada banyak kesenangan di instagram yang sudah saya lalui",1,Negative
sangat bagus...👍,5,Positive
sangat baik,5,Positive
terima kasih,5,Positive
Mantap,4,Positive
tidak bisa login ke ig,1,Negative
sangat membantu,5,Positive
sejauh ini menyenangkan,5,Positive
Instagram saya tidak bisa di buka lagi 😡😡🤬,1,Negative
sangat keren apk nya,5,Positive
baguss,5,Positive
muantap,5,Positive
kenapa foto orang lain buram ya?,4,Positive
ok,5,Positive
SAYA JADI GANTENG WKWKWKW,5,Positive
open mindset,5,Positive
bio ig tidak berfungsi,5,Positive
good,4,Positive
bagus,5,Positive
mudah dalam menjalankan Bisnis saya .,5,Positive
oke,5,Positive
Kenapaa Instagram sayaa tidakk bisaa di bukaaa,4,Positive
aku lebih suka,5,Positive
trimakasih Instagram,5,Positive
bagus,5,Positive
ig ni bkin gua butterfly era cuyy 🤭🤭,5,Positive
good,5,Positive
👍🏻💪🏻🫶🏻,5,Positive
Nice and good,5,Positive
ok,5,Positive
Sangat bagus,5,Positive
Aku suka semua dari instagram bagi penggunanya,5,Positive
bermanfaat,5,Positive
sangat bagus,5,Positive
enak,5,Positive
Baguss bangettt,5,Positive
membantu saya mendapatkan banyak teman dan benefit,5,Positive
oke laah pokoknya,5,Positive
Bagus,5,Positive
Good,5,Positive
Aplikasi kudacukii,5,Positive
tombol komen terjemahan tidak berfungsi,1,Negative
Bagus. Sangat bermanfaat dan keren,5,Positive
"laah knpa saya tidak bisa sebut nama orng dibio tapi hanya orng itu sja, tapi nama yang lain bisa disebut tolong dongg sy mau tag namanya tapi tidak bisa nama orng lain bisa, padahal akun sya dn akun dia tdk ada yg di privasi dan penyebutanny tdk di privasi juga dari akun sya dan akun dia.",2,Negative
Mantab,5,Positive
"update an kurang masuk, akhir2 ini ig gabisa mention org lain, sekaligus untuk post story saja gabisa padahal udah cek jaringan dengan aplikasi lain aman lancar lancar aja",1,Negative
dibantu min akun saya diretas,5,Positive
mantap,5,Positive
top dah ig jossss...,5,Positive
bagus dan keren saya sangat suka,5,Positive
bagus,5,Positive
bisa monet gak ?,5,Positive
bagys,4,Positive
luar biasa,5,Positive
ok,5,Positive
nice good,5,Positive
Bagus,2,Negative
bagus,5,Positive
bagusnyo,5,Positive
keren,5,Positive
bagus banget aku suka banget Ama istagram bisa Poto Poto dan lain lain nya,5,Positive
"jelek, suka errr",4,Positive
lumayan bagus,3,Neutral
kerennn,5,Positive
mantap,4,Positive
keren,5,Positive
"hilights alogaritma instagram agak sulit, gak segampang tiktiok",4,Positive
sangat membantu,5,Positive
bagus grafik nya ok si tapi hp ku pata-pata,5,Positive
Kami dari Ormas Majelis Silaturahim Ulama Kabupaten Subang Memberikan masukan kepada Gubernur Jabar. Tentang.. 1. Tentang Wisuda Siswa TK Hingga SMA/ Sederajat. Kegiatan Itu Wajib. yang manfaat nya. a.Untuk meng evaluasi Akhir Sekolah yg di tampilkan di depan Orang Tuanya dan banyak Orang dalam bentuk Hafalan zuz amma/ Pidato atau bentuk lain. b.Melatih mental anak Agar terbiasa Tampil di atas panggung dengan menampilkan sebuah hafalan/ Piadato. dan Anak di semati Toga itu kbanggan ank..,5,Positive
bagus,5,Positive
Akuu sukaa apk Ig😵‍💫😵‍💫,5,Positive
sangat luar biasa,5,Positive
ok,4,Positive
bagus saya menyukai nya,5,Positive
saya dari admin STORYANAKBUGISS mengucapkan terima kasi karena saya mulai terkenal di Ig,5,Positive
montokkkk polllll,5,Positive
apk buruk mau login ke apk saja alasan ga bisa ajgg kaliann,1,Negative
kadang gak bisa di buka,3,Neutral
keren pastinya,5,Positive
tolong yang punya aplikasi ini masa kalo saya ingin ganti sandi ga bisa padahal udah kuat sandinya trs maaf kredensial tidak valid katanya kan bodohhhh👎,1,Negative
"ini instagram ada masalah apa ya, mau daftar akun yang sudah aja susah sekali, terus mau buat akun baru juga tidak bisa, tolong ya di tingkat kan lagi perbaikannya untuk sesama kenyamanan pengguna",1,Negative
"sosmed terbaik yg gua pernah gunain, i love you instagram",5,Positive
Bermanfaat,4,Positive
keren,5,Positive
Asyik aja ....,5,Positive
😎👍,5,Positive
Sekarang apa lagi ? Mau hilangkan juga tampilan Music di story . bikin kesal,3,Neutral
Is the best,5,Positive
bagus,5,Positive
goodd👌,5,Positive
bagus sekali....,5,Positive
"balikin fitur catatan di postingan WOII, nnt bintang sepuluh juga mau anj ak ngasi",2,Negative
"aplikasi sangat bagus,dan membuat ku terhibur dengan video"" yang ada di Ig,tnkyu😍✨",5,Positive
Ig kenapa jelek bgt skrng njirr filternya ilang semua seklinya di cari GK ada,1,Negative
"saya tidak bisa melakukan siaran langsung tolong beri kejelasan atas apa yang saya alami, sudah berapa bulan tidak ada penjelasan atau setidaknya peringatan sebelumnya, menyebalkan tolong tanggapi ini",1,Negative
membuat jangkauan luas seseorang.. terima kasih instagram,5,Positive
bagus,5,Positive
"KENAPA PESAN TEKS YANG BUAT POST ULANG DI POSTINGAN ORG LU HARUS DI HILANGIN, ITUU SUATU HAL TERPENTING YANG PERNAH GW TAU DI HIDUP GW TAU GA",1,Negative
jelek,1,Negative
bagus berminat,5,Positive
bagus,5,Positive
makin di update makin gajelas dah,1,Negative
good,5,Positive
very good 😊,5,Positive
bagus,5,Positive
Lag,1,Negative
sangat bagus,5,Positive
cara pengeditan buat postingan mantap ga pake ribet👍,4,Positive
it's my love,5,Positive
saya ga bisa update,4,Positive
seruuu,5,Positive
nice thank u IG,5,Positive
saya senang memggunakan instagram ini,5,Positive
"coba segera perbaiki, ketika story ig yang belum 24 jam gak sengaja ke arsip untuk bisa di pulihkan lagi menjadi story ig karena di akun ig saya ketika diarsipkan tidak bisa di pulihkan menjadi story lagi padahal belum 24 jam",4,Positive
game nya bagus tapi kadang ada bug nya dikit,4,Positive
mantull,5,Positive
aplikasi sangat bermanfaat ☺️,5,Positive
sukak,5,Positive
gaisss kalian gamau ngadain fitur sticker gitu di DM?,5,Positive
"aplikasi yg sangat menyenangkan untuk komunikasi,dan sangat menarik.",5,Positive
"intragram kebanyakan ikalan judi online,",1,Negative
nice lebih lagi ya kalo bisa jangan gabung sama fb warga fb kureng soalnya,5,Positive
"bisa kenal banyak orang temen temen juga ada saudara yang jauh maupun deket pokoknya oky lah apk ini sangat bagusss madodet pokoknamah well buat instagram selain itu suka seru liat rels nya bisa tau sesuai mood gitu banyak banget lah keseruannya makanya cepet download instagram biar bisa se followwan sama akuh, boleh kan dan selain itu buat pihat instagram kenapa akun aku slalu kena benned padahal aku gak tau kesalahan nya apa tau atau di benned we tapi gak PP lah masih bisa bikin akun lagi 👍👍",5,Positive
mantap sangat membantu,4,Positive
mantap,5,Positive
klu bagus aku kasih full,3,Neutral
Mantap sangat membantu,5,Positive
saya suka bermain instagram tetapi saya kecewa dikit 🙄😅,5,Positive
nice,5,Positive
mantapp,5,Positive
nice god,5,Positive
sangat bagus,5,Positive
banyak bug,1,Negative
mohon akun saya jangan di bend,5,Positive
Hai Developer Instagram. Bisa kah kalian menambahkan fitur arsip chat di ig dan diberi sandi untuk akses arsip chat tsb. Sy ingin ada fitur tsb agar privasi lebih terjaga. Udah sih itu aja.. Semoga dpt di tindak lanjuti yak.. Thanks ☺️,1,Negative
bagus,4,Positive
apk ini sangat bagus,5,Positive
sangat bagus skli,5,Positive
bagus,5,Positive
sangat membantu dalam melihat arus informasi yang ada,5,Positive
maaf ini kenapa yah ko saya donwload ga bisa apa ada yang tau?,1,Negative
keren apk nya,5,Positive
good,5,Positive
Semoga bagus,4,Positive
wow bgtt,5,Positive
mantapppp,5,Positive
Mantapp,5,Positive
aplikasi ini sangat membantu,5,Positive
bagus,5,Positive
baru mau coba untuk bisa menghasilkan uang,5,Positive
mentionnya knp ilang anjir💔💔💔,3,Neutral
"mantap,bagus",5,Positive
kenapa kok Skrang Ig ngebug trus,3,Neutral
"walaupun sudah diperbarui terus, fitur barunya nggak bisa dipakai.",1,Negative
selalu memberikan manfaat jika bijak menggunakannya.,5,Positive
instagram nya error terus sampe log out sendiri,1,Negative
INSTAGRAM tolong betulin pliss buat filter2 di ig .. di post jdi tone nya kuning bgt padahal filter2 nya bagus,3,Neutral
mantap,5,Positive
sangat keren,5,Positive
Good,5,Positive
kenapa Instagram kuu kalau di Bukk mental,5,Positive
keren,5,Positive
Sukaa,5,Positive
aplikasinya bagus banget,5,Positive
"wahai developer Ig tolong perbaiki bug dimana sat saya melihat saran di pencarian sekarang malah menjadi saran seperti awal membuat akun, padahal saya sudah melaporkan bugg ini beberapa hari yang lalu tapi masih belum diperbaiki, tolong perbaiki bugg ini, saya pun sudah menggunakan Ig lite dan pencarian saya masih normal yang menandakan bahwa memang aplikasi Ig lah yang rusak",2,Negative
aku suka aplikasinya juga bagus,5,Positive
tolong kasih saya cara melihat sandi ig yg lupa,1,Negative
SENANG MENGUNAKAN INSTAGRAM,5,Positive
story instagram sama komentar suka ilang sendiri padahal belum 24 jam,1,Negative
apk ini sangat bagus,5,Positive
ok,5,Positive
👍👍👍👍👍👍👍,5,Positive
sangat membantu dalam menyimpan moment2 terbaik bersama keluarga tercinta,5,Positive
cba tolong di perbarui ya efek nyh soalnya nora' bangat,4,Positive
sangat bagus,2,Negative
GG sih,5,Positive
bagus,5,Positive
sangat membantu,5,Positive
tdk membosankan,5,Positive
bagus,5,Positive
cukup bikin saya terhibur,5,Positive
bagus aja gitu,5,Positive
improve performance and expand search later when it is good then share this full star,5,Positive
filter yang kita butuhkan gak bisa dicari,1,Negative
aplikasi ini sungguh bagus tapi maaf karna sering hapus memori cepat skli full 🙏😁😁😁,3,Neutral
Instagram sangat membantu saya untuk mencari teman.,5,Positive
Oke,5,Positive
kenapa di batas Batasin lahh,1,Negative
"kenapaaa saya susah bngettt update story atau postingan di second ig sayaaaa kenapa yaa!!! kesel bnget udh cape cape nyusun foto ternyata ga ke storyin, tolong dong perbaiki fiturnya!!!!!!!!!!!!!!!!!!!!!!!!!!",1,Negative
bagus,5,Positive
knpah sih gw bikin akun Ig selalu di tanggul Mulu dan di band,1,Negative
"udah sembunyikan threads, masih muncul terus. jadi jengkel.",1,Negative
hebat menjangkau semua orang,5,Positive
"sebelumnya, ketika video sudah berakhir, tinggal di goyang saja atau di scrol sedikit videonya jalan kembali. Sekarang, harus di klik dulu. Kemudian, yang sebelumnya kolom komentar bisa dibuka hanya dengan mengetuk caption, sekarang sudah tidak bisa lagi dan harus mengetuk icon komentar, ini sangat menggangu, karena pengalaman menonton video dan melihat kolom komentar secara bersamaan jadi hilang dan tidak menyenangkan lagi. Aku tidak tau apakah ini pembaharuan untuk peningkatan atau penurunan.",2,Negative
"kenapa tanda online atau tidak nya itu delay,gara gara itu pacar saya marah,ga sugoi banget",1,Negative
efek eek nya menarik dan bisa jsnsisbwisbs,5,Positive
mantab 👍,5,Positive
males bgt klo ska ngelag/error pdahal sinyal bagus bngt,1,Negative
"yg jualan lewat Instagram kebanyakan penipu, tolong hapus akun akun yg jualan di Instagram",1,Negative
bgus,5,Positive
bagus,5,Positive
aku Cape cape daftar malah gak di terima gimana sih,2,Negative
kenapa istagram tidak bisa cari filter sama filter nya udah tidak ada tolong di perbaiki,1,Negative
tiba tiba tidak bisa menggunakan fitur live instagram,1,Negative
"paling seru, bisa upload semua momen bisa liat rells konten orang lain juga",5,Positive
"tampilan ig makin lama makin kek teling, sok di ubah ubah",2,Negative
mendingan lah,5,Positive
josss,5,Positive
ok,5,Positive
bagaus,5,Positive
sangat baik,5,Positive
kembali letak reels yang sebelumnya dihapus developer,5,Positive
sangat bagus,5,Positive
bgus bngttt,5,Positive
mantap,3,Neutral
FILTER NEW YORK KU BALIKINNNN DONG INSTAGRAM😞😞😞,3,Neutral
sangat bagud,5,Positive
🥰😍,5,Positive
sangat membantu,5,Positive
saya suka ✌️,5,Positive
minusnya belum bisa cari lagu pop Indonesia,5,Positive
Bagus dan sebagainya,5,Positive
terbaik......hehehe...,5,Positive
puas banget pakai aplikasi ini🥰,5,Positive
sangat berguna,5,Positive
sangat bagus,5,Positive
sangat mudah mengaplikasikan nya,5,Positive
keren,5,Positive
like 👍🤗,5,Positive
lambat,1,Negative
"Bagus banget, buat Menyimpan Kenangan🫶💕",5,Positive
good,5,Positive
tidak mau dibuka,1,Negative
kenapa ini gak bisa d buka gak bisa daftar,1,Negative
Akan ku ganti bintang 5 kalo sudah ada fitur Menampilkan siapa yang udah unfollow di daftar diikuti 🫴,1,Negative
saya sangat tidak nyaman tampilan saran teman di story highlight instagram saya. bahkan story teman yang saya ikuti sering hilang dan muncul saran teman. tolong diperbaiki segera.,1,Negative
"sangad suka sekali dengan aplikasi ini,yahahahaha",5,Positive
semoga lebih baik lagi,5,Positive
kenapa instagram ku tidak bisa dibuka setelah di update.. beberapakali tidak bisa dibuka sama sekali. tolong bantuannya.,3,Neutral
"mengapa aku beri rating lima karena ""wow"" tahu artinya ""wow"". "" wow "" artinya aku suka sekali melihat instagram karena instagram itu luar biasa aku suka sekali 😍😍💯💯🤩🤩😃😄",5,Positive
mantap,5,Positive
"Instagra nggak ada suara,parah 😭",1,Negative
good aplikasi,4,Positive
Sangat Berguna,5,Positive
keren,5,Positive
hhmm..aku download nya lama karena apa yaa,3,Neutral
kalau Aku sih Instagram itu enak bisa nonton video kalau Ada kejadian,5,Positive
200% mantap,5,Positive
🥰,5,Positive
mantap,5,Positive
menginstal nya terlalu lama,2,Negative
saya sangat sukak,1,Negative
not bad,4,Positive
mantap.,4,Positive
sangat bagus,5,Positive
kenapa story diarsip suka ada yang hilang?,3,Neutral
apa ngomong sama kamu tapi awak media?,5,Positive
bug aplikasi selalu berhenti,1,Negative
bagus,5,Positive
